,instance,throughput,cpu,type,provider,price,value
0,m5.large,3340.0,[2],['General'],['aws'],0.096,34791.666666666664
1,n1-standard-2,1700.0,[2],['General'],['google'],0.095,17894.736842105263
2,r5.xlarge,205700.0,[4],['Memory'],['aws'],0.252,816269.8412698413
3,n1-highmem-4,48872.0,[4],['Memory'],['google'],0.2368,206385.13513513512
4,c5.2xlarge,1498896.0,[8],['CPU'],['aws'],0.34,4408517.647058823
5,m5.2xlarge,995840.0000000001,[8],['General'],['aws'],0.384,2593333.3333333335
6,n1-highcpu-2,1824.0,[2],['CPU'],['google'],0.0709,25726.375176304653
7,n1-standard-2,1824.0,[2],['General'],['google'],0.095,19200.0
8,n1-highmem-2,1824.0,[2],['Memory'],['google'],0.1184,15405.405405405405
9,c5.large,2256.0,[2],['CPU'],['aws'],0.085,26541.176470588234
10,r5.2xlarge,1391232.0,[8],['Memory'],['aws'],0.504,2760380.9523809524
11,n1-highcpu-4,4384.0,[4],['CPU'],['google'],0.1418,30916.78420310296
12,n1-standard-4,31695.999999999996,[4],['General'],['google'],0.19,166821.05263157893
13,m5.large,33088.0,[2],['General'],['aws'],0.096,344666.6666666667
14,n1-standard-8,796480.0,[8],['General'],['google'],0.38,2096000.0
15,r5.large,2200.0,[2],['Memory'],['aws'],0.126,17460.31746031746
16,r5.xlarge,1365984.0,[4],['Memory'],['aws'],0.252,5420571.428571428
